,1998 FH12,2003,Jun,27,5:43,3:58,19,0.0489,0.045,18.3,<,1.00E-09,1.00E+03,19,44,66,JPL#01
,1994 PM,2003,Aug,16,14:12,0:02,9.7,0.025,0.025,26.4,<,1.00E-09,2.10E+05,17.5,94,678,JPL#03
,1978 CA,2003,Aug,30,,2/23:51,53.1,0.1364,0.0395,13.67,<,1.00E-09,9.40E+03,18,48,32,JPL#09
,1998 VS,2003,Sep,11,,4/01:48,61.5,0.158,0.1324,7.1,<,1.00E-09,1.00E+05,21.9,53,32,JPL#08
,1998 FG2,2003,Oct,22,,1/00:26,13.4,0.0345,0.0328,9.51,<,1.00E-09,5.30E+04,21.5,103,70,JPL#01
,1989 UQ,2003,Oct,24,13:46,0:01,58.2,0.1496,0.1496,5.98,<,1.00E-09,1.80E+05,19,114,2596,JPL#03
,1990 OS,2003,Nov,10,,2/08:02,11.8,0.0304,0.0224,9.08,<,1.00E-09,1.30E+04,20,28*,13,JPL#07
,1996 GT,2003,Nov,12,22:26,6:56,18.7,0.048,0.0476,6.01,<,1.00E-09,5.70E+03,18.5,26,720,JPL#02
,1998 UT18,2003,Nov,28,20:37,0:46,25.5,0.0656,0.0651,10.95,<,1.00E-09,3.90E+05,19,139,204,JPL#37
,1996 JG,2003,Nov,30,18:38,0:15,55.2,0.142,0.1417,24.31,<,1.00E-09,2.40E+05,19.5,263*,20,JPL#11
3362,Khufu,2003,Dec,20,21:13,<  00:01,75.7,0.1946,0.1946,18.88,<,1.00E-09,4.20E+05,18.3,153,5216,JPL#06
,1995 CR,2004,Jan,1,,2/19:05,30.7,0.0789,0.0626,31.17,<,1.00E-09,4.60E+04,21.5,158,20,JPL#09
6239,Minos,2004,Feb,2,21:16,<  00:01,21.9,0.0564,0.0564,11.67,<,1.00E-09,1.80E+05,17.9,57,5855,JPL#08
,1999 DJ4,2004,Apr,20,10:10,11:44,22.7,0.0584,0.0573,9.07,<,1.00E-09,2.40E+05,18.2,116,189,JPL#27
,1993 KH,2004,Jun,14,1:01,<  00:01,51.2,0.1315,0.1315,10.72,<,1.00E-09,3.50E+05,19,34,1672,JPL#03
,1998 SF36,2004,Jun,25,,1/20:28,5.3,0.0137,0.0129,5.95,<,1.00E-09,6.80E+02,18.8,50,46,JPL#12
,1999 MN,2004,Jul,11,2:32,20:33,6.7,0.0172,0.017,15.2,<,1.00E-09,1.10E+05,21.6,45,25,JPL#14
4179,Toutatis,2004,Sep,29,13:37,<  00:01,4,0.0104,0.0104,11,<,1.00E-09,1.00E+06,15.3,711*,3216,JPL#69
,1998 ST27,2004,Oct,9,11:27,1:47,47,0.1207,0.1189,20.39,<,1.00E-09,4.20E+02,19.5,79,27,JPL#16
,1998 WT24,2004,Nov,12,2:11,6:47,37.5,0.0964,0.0913,10.92,<,1.00E-09,9.20E+03,17.7,43,33,JPL#11
3908,Nyx,2004,Nov,14,22:45,<  00:01,54.3,0.1394,0.1394,8.88,<,1.00E-09,2.40E+06,17.4,602*,6033,JPL#11
7753,1988 XB,2004,Nov,21,22:56,<  00:01,28.4,0.0729,0.0729,11.34,<,1.00E-09,1.10E+05,18.6,246,3346,JPL#06
,1998 DV9,2005,Jan,11,9:45,0:38,30.2,0.0777,0.0775,8.65,<,1.00E-09,4.10E+04,18.1,126,500,JPL#11
,1998 WT,2005,Mar,7,17:38,14:49,27.4,0.0705,0.0576,16.69,<,1.00E-09,2.60E+03,17.3,70,34,JPL#13
,1999 RR28,2005,Mar,29,,1/18:18,17.9,0.046,0.021,19.86,<,1.00E-09,1.30E+03,18.6,86,39,JPL#25
,1999 GU3,2005,May,4,22:49,0:46,66.6,0.1711,0.1708,11.12,<,1.00E-09,8.40E+05,19.6,258*,101,JPL#30
,1999 MN,2005,Jun,1,8:08,0:44,27.8,0.0714,0.0333,17.47,<,1.00E-09,9.20E+03,21.6,45,25,JPL#14
,1992 UY4,2005,Aug,8,9:14,0:40,15.7,0.0404,0.0402,10.49,<,1.00E-09,2.00E+04,17.5,45,1395,JPL#06
,1999 RQ36,2005,Sep,20,10:44,0:05,12.9,0.0331,0.0331,6.84,<,1.00E-09,2.60E+05,21,167*,20,JPL#31
1862,Apollo,2005,Nov,6,19:15,<  00:01,29.3,0.0752,0.0752,15.23,<,1.00E-09,4.30E+05,16.2,246*,24876,JPL#35
,1994 XL1,2005,Dec,8,,1/12:34,22.7,0.0584,0.0413,16.05,<,1.00E-09,1.40E+05,20.5,75,16,JPL#03
3361,Orpheus,2006,Jan,11,13:17,0:01,62.2,0.1597,0.1597,7.25,<,1.00E-09,8.30E+05,19,84,5908,JPL#04
,1997 XR2,2006,Jul,10,,7/06:21,58.6,0.1505,0.1419,5.12,<,1.00E-09,1.00E+04,21,149,27,JPL#02
4450,Pan,2006,Sep,8,22:35,<  00:01,57,0.1464,0.1463,22.57,<,1.00E-09,1.40E+05,17.2,104,3355,JPL#03
,1999 GS6,2006,Sep,15,15:14,13:43,48.5,0.1247,0.1135,11.3,<,1.00E-09,1.10E+04,19.7,93,49,JPL#07
5011,Ptah,2007,Jan,21,23:14,0:03,77.1,0.1981,0.1981,10.12,<,1.00E-09,1.20E+05,17.1,32,13427,JPL#08
,1991 GO,2007,Apr,15,15:23,0:01,70.3,0.1807,0.1806,23.7,<,1.00E-09,9.40E+04,19.8,17,2948,JPL#10
,1998 VO,2007,May,7,3:28,18:54,24.4,0.0626,0.0561,7.61,<,1.00E-09,7.40E+03,20.4,113,37,JPL#14
1862,Apollo,2007,May,8,15:18,<  00:01,27.8,0.0714,0.0714,19.18,<,1.00E-09,4.40E+05,16.2,246*,24876,JPL#35
,1999 FA,2007,Sep,29,19:27,5:21,51.8,0.1331,0.1298,8,<,1.00E-09,4.90E+05,20.6,161,69,JPL#27
,1999 AQ10,2007,Oct,1,22:06,7:32,53.8,0.1382,0.1367,5.18,<,1.00E-09,2.20E+04,20.4,127,42,JPL#30
2340,Hathor,2007,Oct,22,5:43,<  00:01,23.3,0.06,0.06,15.07,<,1.00E-09,1.30E+05,19.2,72,7739,JPL#10
11500,1989 UR,2007,Nov,24,22:40,<  00:01,27.6,0.071,0.071,13.48,<,1.00E-09,2.80E+05,18.4,163,3588,JPL#18
3200,Phaethon,2007,Dec,10,4:44,<  00:01,47,0.1209,0.1209,37.45,<,1.00E-09,1.80E+05,14.6,369,5776,JPL#13
4450,Pan,2008,Feb,19,22:21,<  00:01,15.9,0.0408,0.0408,17.61,<,1.00E-09,7.70E+04,17.2,104,3355,JPL#03
,1999 JU3,2008,Feb,20,9:27,7:56,63.1,0.1622,0.1586,7.27,<,1.00E-09,8.80E+03,19.2,48,54,JPL#19
6037,1988 EG,2008,Mar,7,14:29,<  00:01,64.9,0.1667,0.1667,19.83,<,1.00E-09,2.30E+06,18.7,295*,3686,JPL#21
1620,Geographos,2008,Mar,17,11:41,<  00:01,48.7,0.1251,0.1251,9.74,<,1.00E-09,2.90E+06,15.6,965*,16994,JPL#65
,1999 SO5,2008,Apr,9,14:16,19:56,34.5,0.0887,0.0656,7.36,<,1.00E-09,5.00E+02,21.3,57,19,JPL#14
,1991 DG,2008,Aug,2,5:55,0:01,68.2,0.1753,0.1753,10.99,<,1.00E-09,3.20E+05,19,41,2806,JPL#05
,1991 VH,2008,Aug,15,12:59,0:01,17.8,0.0458,0.0458,7.84,<,1.00E-09,1.30E+05,16.5,210,2326,JPL#02
,1998 VO,2008,Oct,29,8:25,5:15,31.2,0.0803,0.0743,10.35,<,1.00E-09,6.20E+04,20.4,113,37,JPL#14
